title,artist,material,material_group,width_cm,height_cm,area_cm2,country,period_raw,birth_year,death_year,period_mid_year,style,genre,estimate_low_eur,estimate_high_eur,estimate_mid_eur,sale_price_eur,price_category
View from the Window,ANNE ESTELLE RICE,oil on canvas,Oil,51.4,64.7,3325.58,United States,1877-1959,1877,1959,1918,Fauvism,Portraiture,17296,28827,23061,20341,High
Mademoiselle O,JOHN DUNCAN FERGUSSON,Unknown,Unknown,66.0,57.2,3775.2,United Kingdom,1874-1961,1874,1961,1918,Fauvism,Portraiture,57655,92248,74951,72645,Premium
"Rooftops, South of France",GEORGE LESLIE HUNTER,oil on canvas,Oil,54.0,72.0,3888.0,United Kingdom,1877-1931,1877,1931,1904,Fauvism,Still Life,11531,17296,14413,,
Chrysanthemums and Honesty,"ANNE REDPATH, A.R.A.",oil on canvas,Oil,76.2,76.2,5806.44,United Kingdom,1895-1965,1895,1965,1930,Expressionism,Still Life,17296,28827,23061,18888,Medium
Still Life with Fruit,GEORGE LESLIE HUNTER,oil on canvas,Oil,50.8,60.96,3096.77,United Kingdom,1877-1931,1877,1931,1904,Fauvism,Still Life,34593,57655,46124,43587,High
White Cyclamen,"ANNE REDPATH, A.R.A.",Unknown,Unknown,51.0,60.3,3075.3,United Kingdom,1895-1965,1895,1965,1930,Expressionism,Still Life,13837,20756,17296,14529,Medium
"Pink Rose, Fruit and Still Life",GEORGE LESLIE HUNTER,Unknown,Unknown,68.58,55.88,3832.25,United Kingdom,1877-1931,1877,1931,1904,Fauvism,Still Life,57655,92248,74951,72645,Premium
Flowers in a Jug,CHRISTOPHER WOOD,oil on canvas,Oil,35.0,25.0,875.0,United Kingdom,1901-1930,1901,1930,1916,Modernism,Landscape,34593,57655,46124,43587,High
Landscape,WINIFRED NICHOLSON,oil on canvas,Oil,60.96,60.96,3716.12,United Kingdom,1893-1981,1893,1981,1937,Post-Impressionism,Still Life,34593,57655,46124,34870,High
Tortoiseshell Cat and Flowers,"DAME ELIZABETH BLACKADDER, R.A., R.S.A.",Unknown,Unknown,57.2,78.8,4507.36,United Kingdom,1931-2021,1931,2021,1976,Modernism,Still Life,3459,5765,4612,10897,Medium
Carts on a Wasteland,"LAURENCE STEPHEN LOWRY, R.A.",Unknown,Unknown,30.48,40.64,1238.71,United Kingdom,1887-1976,1887,1976,1932,Naïve Art,Urban,69186,92248,80717,123497,Premium
Clocking on Time,"LAURENCE STEPHEN LOWRY, R.A.",Unknown,Unknown,24.4,27.3,666.12,United Kingdom,1887-1976,1887,1976,1932,Naïve Art,Urban,9225,13837,11531,46493,High
"The Church and Chapel, Going Home on Sunday Evening",HELEN BRADLEY,oil on canvas,Oil,35.56,53.34,1896.77,United Kingdom,1900-1979,1900,1979,1940,Naïve Art,Figurative,17296,28827,23061,27605,High
Beach at Sandsend,"LAURENCE STEPHEN LOWRY, R.A.",Unknown,Unknown,29.5,40.0,1180.0,United Kingdom,1887-1976,1887,1976,1932,Naïve Art,Urban,13837,20756,17296,37775,High
Hetty,"LAURENCE STEPHEN LOWRY, R.A.",oil on canvas,Oil,50.8,40.64,2064.51,United Kingdom,1887-1976,1887,1976,1932,Naïve Art,Urban,17296,28827,23061,43587,High
Self Portrait,DAVID BOMBERG,Unknown,Unknown,60.96,50.8,3096.77,United Kingdom,1890-1957,1890,1957,1924,Vorticism,Abstract,17296,28827,23061,,
"Venice, La Salute","WALTER RICHARD SICKERT, A.R.A.",oil on canvas,Oil,55.2,46.0,2539.2,United Kingdom,1860-1942,1860,1942,1901,Impressionism,Urban,69186,103779,86482,101703,Premium
Tangier bay at night,"SIR JOHN LAVERY, R.A., R.S.A., R.H.A.",oil on canvas,Oil,35.56,63.5,2258.06,Ireland,1856-1941,1856,1941,1898,Post-Impressionism,Portraiture,34593,57655,46124,40681,High
Pines and Olives,"AUGUSTUS JOHN, O.M., R.A.",oil on canvas,Oil,50.2,60.9,3057.18,United Kingdom,1878-1961,1878,1961,1920,Post-Impressionism,Landscape,17296,28827,23061,20341,High
"Mount St Hilarion, Cyprus",DAVID BOMBERG,oil on canvas,Oil,71.1,92.0,6541.2,United Kingdom,1890-1957,1890,1957,1924,Vorticism,Abstract,69186,92248,80717,101703,Premium
Maquette for Seated Torso,"HENRY MOORE, O.M., C.H.",bronze,Bronze,,,,United Kingdom,1898-1986,1898,1986,1942,Modernism,Sculpture,23062,34593,28827,29058,High
Fir Tree,IVON HITCHENS,oil on canvas,Oil,55.88,60.96,3406.44,United Kingdom,1893-1979,1893,1979,1936,Abstract Art,Landscape,20756,28827,24791,37775,High
The Kitchen Table,"TRISTRAM HILLIER, R.A.",Unknown,Unknown,19.6,28.6,560.56,United Kingdom,1905-1983,1905,1983,1944,Surrealism,Landscape,4612,6919,5765,20341,High
Abstract with Rose (for F.),"EDWARD WADSWORTH, A.R.A.",Unknown,Unknown,51.5,61.5,3167.25,United Kingdom,1889-1949,1889,1949,1919,Vorticism,Abstract,13837,20756,17296,,
Study of Roses,"GRAHAM SUTHERLAND, O.M.",gouache,Gouache,64.8,50.2,3252.96,United Kingdom,1903-1980,1903,1980,1942,Neo-Romanticism,Landscape,4612,6919,5765,18888,Medium
Girl V,"LYNN CHADWICK, R.A.",bronze,Bronze,,,,United Kingdom,1914-2003,1914,2003,1958,Modernism,Sculpture,13837,20756,17296,18888,Medium
On the Road to Ypres,"CHRISTOPHER RICHARD WYNNE NEVINSON, A.R.A.",Unknown,Unknown,11.0,21.0,231.0,United Kingdom,1889-1946,1889,1946,1918,Futurism,War,57655,92248,74951,65381,Premium
The Recital,"WILLIAM ROBERTS, R.A.",Unknown,Unknown,33.6,54.0,1814.4,United Kingdom,1895-1980,1895,1980,1938,Vorticism,Figurative,20756,28827,24791,,
Cumbrian Landscape,WINIFRED NICHOLSON,oil on canvas,Oil,50.8,76.2,3870.96,United Kingdom,1893-1981,1893,1981,1937,Post-Impressionism,Still Life,17296,28827,23061,31964,High
"Church and Barn, Waltham St Lawrence","CHARLES GINNER, A.R.A.",oil on canvas,Oil,50.8,68.58,3483.86,United Kingdom,1878-1952,1878,1952,1915,Post-Impressionism,Landscape,9225,13837,11531,15982,Medium
Study for 'Unveiling Cookham War Memorial',"SIR STANLEY SPENCER, R.A.",Unknown,Unknown,34.9,33.6,1172.64,United Kingdom,1891-1959,1891,1959,1925,Neo-Romanticism,Religious,17296,28827,23061,108968,Premium
Phemius Points Out the Gods to Telemachus,"HENRY MOORE, O.M., C.H.",Unknown,Unknown,25.5,18.0,459.0,United Kingdom,1898-1986,1898,1986,1942,Modernism,Sculpture,4612,6919,5765,10170,Medium
Viaduct near Aix,SIR MATTHEW SMITH,oil on canvas,Oil,54.0,64.8,3499.2,United Kingdom,1879-1959,1879,1959,1919,Fauvism,Still Life,13837,20756,17296,15982,Medium
"El Cerro, San Antón",SIR WILLIAM NICHOLSON,Unknown,Unknown,32.4,41.0,1328.4,United Kingdom,1872-1949,1872,1949,1910,Post-Impressionism,Still Life,17296,28827,23061,31964,High
Maquette for Seated Woman: Thin Neck,"HENRY MOORE, O.M., C.H.",bronze,Bronze,,,,United Kingdom,1898-1986,1898,1986,1942,Modernism,Sculpture,28827,40358,34592,46493,High
"The Quarry Woods, Cookham","SIR STANLEY SPENCER, R.A.",oil on canvas,Oil,50.8,68.58,3483.86,United Kingdom,1891-1959,1891,1959,1925,Neo-Romanticism,Religious,34593,57655,46124,34870,High
Upright Motive: Maquette No. 6,"HENRY MOORE, O.M., C.H.",bronze,Bronze,,,,United Kingdom,1898-1986,1898,1986,1942,Modernism,Sculpture,9225,13837,11531,18888,Medium
Emery Reves,"GRAHAM SUTHERLAND, O.M.",Unknown,Unknown,38.1,30.48,1161.29,United Kingdom,1903-1980,1903,1980,1942,Neo-Romanticism,Landscape,6919,9225,8072,23246,High
Artificial Light (From the Desert of Pharan series),AHMED MATER,Unknown,Unknown,20.3,322.6,6548.78,Saudi Arabia,1979,1979,,1979,Contemporary,Conceptual,80717,115310,98013,,
New York,SAMIA HALABY,oil on canvas,Oil,61.4,61.4,3769.96,Palestine,1936,1936,,1936,Abstract Expressionism,Abstract,46124,69186,57655,101703,Premium
Oasis,YVETTE ACHKAR,oil on canvas,Oil,145.4,130.0,18902.0,Lebanon,1928-2024,1928,2024,1976,Modernism,Abstract,34593,57655,46124,,
Untitled,HELEN KHAL,oil on canvas,Oil,80.0,90.1,7208.0,Lebanon,1923-2009,1923,2009,1966,Modernism,Abstract,34593,57655,46124,75551,Premium
Ta'mulat Mawdu'yeh (Objective Meditations),SHAKER HASSAN AL SAID,Unknown,Unknown,119.4,119.4,14256.36,Iraq,1925-2004,1925,2004,1964,Modernism,Abstract,92248,138372,115310,116232,Premium
"Bi nur al-iman, nara al-s'adah (In the light of faith, we see happiness)",MOHAMMED AL SALEEM,oil on canvas,Oil,104.0,123.5,12844.0,Saudi Arabia,1939-1997,1939,1997,1968,Modernism,Abstract,207557,288274,247915,726451,Premium
The Desert,AREF EL RAYESS,oil on canvas,Oil,76.2,121.9,9288.78,Lebanon,"1928, ALEY - 2005",1928,2005,1966,Modernism,Abstract,138372,207557,172964,435871,Premium
Vue de la plage à Cassata en Grèce (View of the beach in Cassata in Greece),MAHMOUD SAÏD,Unknown,Unknown,60.4,71.0,4288.4,Egypt,1897-1964,1897,1964,1930,Modernism,Figurative,288274,403584,345929,973444,Premium
"Badr Shaker al-Sayyab, Unshudat al-Matar",ETEL ADNAN,Unknown,Unknown,20.0,14.0,280.0,Lebanon,1925-2021,1925,2021,1973,Abstract Expressionism,Abstract,46124,69186,57655,69739,Premium
Head,MARWAN,oil on canvas,Oil,20.3,114.3,2320.29,Syria,1934-2016,1934,2016,1975,Modernism,Expressionist,207557,288274,247915,435871,Premium
Flamenco,IBRAHIM EL-SALAHI,Unknown,Unknown,25.0,25.0,625.0,Sudan,1930,1930,,1930,Modernism,Abstract,20756,28827,24791,26152,High
Nineteen Eighty-Four II,MOHAMMED SAMI,acrylic,Acrylic,55.1,50.1,2760.51,Iraq,1984,1984,,1984,Contemporary,Figurative,23062,34593,28827,46493,High
Evolution of Man,AHMED MATER,Unknown,Unknown,83.0,63.0,5229.0,Saudi Arabia,1979,1979,,1979,Contemporary,Conceptual,57655,80717,69186,108968,Premium
Half Night,SAMIA HALABY,oil on canvas,Oil,60.4,63.2,3817.28,Palestine,1936,1936,,1936,Abstract Expressionism,Abstract,46124,69186,57655,159819,Premium
Untitled,MONIR SHAHROUDY FARMANFARMAIAN,Unknown,Unknown,52.7,63.2,3330.64,Iran,1922-2019,1922,2019,1970,Geometric Abstraction,Sculptural,80717,115310,98013,101703,Premium
Flaying the Lamb,HAYV KAHRAMAN,Unknown,Unknown,173.0,107.0,18511.0,Iraq,1981,1981,,1981,Contemporary,Figurative,57655,80717,69186,,
Portrait of Basima Al Bahrani,MAHMOUD SABRI,oil on canvas,Oil,95.0,74.6,7087.0,Iraq,1927-2012,1927,2012,1970,Social Realism,Figurative,23062,34593,28827,,
Portrait Eines Mannes (Portrait of a Man),MARWAN,oil on canvas,Oil,97.4,130.4,12700.96,Syria,1934-2016,1934,2016,1975,Modernism,Expressionist,80717,115310,98013,,
Amitié (Friendship),PAUL GUIRAGOSSIAN,oil on canvas,Oil,100.0,72.7,7270.0,Lebanon,1926-1993,1926,1993,1960,Expressionism,Figurative,57655,80717,69186,116232,Premium
Earthbound,PAUL GUIRAGOSSIAN,oil on canvas,Oil,90.5,100.1,9059.05,Lebanon,1926-1993,1926,1993,1960,Expressionism,Figurative,46124,69186,57655,94439,Premium
Untitled,HAFIDH AL DROUBI,oil on canvas,Oil,80.2,37.2,2983.44,Iraq,1914-1991,1914,1991,1952,Modernism,Cubism,23062,34593,28827,29058,High
Waddah al-Yaman,DIA AL-AZZAWI,oil on canvas,Oil,90.0,90.0,8100.0,Iraq,1939,1939,,1939,Contemporary,Abstract,51889,74951,63420,79910,Premium
Suspiro Del Moro (The Sigh of the Moor),DIA AL-AZZAWI,bronze,Bronze,85.0,20.0,1700.0,Iraq,1939,1939,,1939,Contemporary,Abstract,28827,40358,34592,43587,High
Untitled (The Space Man),ABD AL-HADI EL-GAZZAR,Unknown,Unknown,35.0,26.5,927.5,Egypt,1925-1966,1925,1966,1946,Social Realism,Figurative,28827,40358,34592,40681,High
The Key,HAMED NADA,oil on canvas,Oil,79.0,59.5,4700.5,Egypt,1924-1990,1924,1990,1957,Social Realism,Figurative,51889,74951,63420,65381,Premium
Untitled,ADAM HENEIN,Unknown,Unknown,84.0,143.0,12012.0,Egypt,1929-2020,1929,2020,1974,Modernism,Sculptural,23062,34593,28827,,
Misr al-Salaam (Egypt of Peace),HUSSEIN BICAR,oil on canvas,Oil,61.0,49.8,3037.8,Egypt,1913-2002,1913,2002,1958,Realism,Portrait,28827,40358,34592,72645,Premium
Untitled,TAHIA HALIM,oil on canvas,Oil,80.8,62.2,5025.76,Egypt,1919-2003,1919,2003,1961,Social Realism,Figurative,20756,28827,24791,50852,High
Akhmim Roofs,INJI EFFLATOUN,oil on canvas,Oil,50.0,69.2,3460.0,Egypt,1924-1989,1924,1989,1956,Social Realism,Figurative,23062,34593,28827,65381,Premium
Untitled,AMMAR FARHAT,oil on canvas,Oil,20.3,38.1,773.43,Tunisia,1911-1987,1911,1987,1949,Modernism,Figurative,23062,34593,28827,29058,High
Nejia and Saïda,SAFIA FARHAT,acrylic,Acrylic,92.1,72.0,6631.2,Tunisia,1924-2004,1924,2004,1964,Modernism,Decorative,28827,40358,34592,37775,High
Femme au vase fleuri bleu,BAYA,gouache,Gouache,99.2,75.1,7449.92,Algeria,1931-1998,1931,1998,1964,Folk Art,Figurative,28827,40358,34592,55210,Premium
L’Amoureuse,CHAÏBIA TALAL,oil on canvas,Oil,73.0,54.0,3942.0,Morocco,1929-2004,1929,2004,1966,Folk Art,Naive,23062,34593,28827,40681,High
Untitled,MOHAMMED KACIMI,acrylic,Acrylic,110.0,130.0,14300.0,Morocco,1942-2003,1942,2003,1972,Social Realism,Figurative,34593,57655,46124,43587,High
Arbre arc-en ciel (Rainbow Tree),FARID BELKAHIA,Unknown,Unknown,157.0,1.5,235.5,Morocco,1934-2014,1934,2014,1974,Modernism,Abstract,57655,80717,69186,232464,Premium
Untitled,MOHAMED MELEHI,acrylic,Acrylic,180.0,170.0,30600.0,Morocco,1936-2020,1936,2020,1978,Hard-edge Abstraction,Geometric,57655,80717,69186,79910,Premium
Composition,MOHAMMED CHABÂA,acrylic,Acrylic,131.6,128.7,16936.92,Morocco,1935-2013,1935,2013,1974,Modernism,Abstract,46124,69186,57655,58116,Premium
Lemon Tree,SAMIA HALABY,acrylic,Acrylic,180.0,179.2,32256.0,Palestine,1936,1936,,1936,Abstract Expressionism,Abstract,69186,92248,80717,268787,Premium
Kun-Fa-Yakun (Be and It is),KAMAL BOULLATA,acrylic,Acrylic,149.9,149.9,22470.01,Palestine,1942-2019,1942,2019,1980,Geometric Abstraction,Abstract,34593,57655,46124,138026,Premium
"Wa In Shakartum Laazedannakm (If you are thankful, I will increase you)",MAHMOUD HAMMAD,oil on canvas,Oil,58.0,58.0,3364.0,Syria,1923-1988,1923,1988,1956,Modernism,Abstract,13837,20756,17296,,
Untitled (Blue Composition),SHAFIC ABBOUD,oil on canvas,Oil,72.2,60.4,4360.88,Lebanon,1926-2004,1926,2004,1965,Abstract Expressionism,Abstract,34593,46124,40358,,
Liberation,AREF EL RAYESS,oil on canvas,Oil,100.0,120.0,12000.0,Lebanon,1928-2005,1928,2005,1966,Modernism,Abstract,23062,34593,28827,94439,Premium
Still Life,ASIM ABOU SHAKRA,Unknown,Unknown,100.0,69.8,6980.0,Israel/Palestine,1961-1990,1961,1990,1976,Modernism,Expressionist,17296,23062,20179,21794,High
The Hands of Fatima,LAILA SHAWA,acrylic,Acrylic,130.4,100.4,13092.16,Palestine,1940-2022,1940,2022,1981,Contemporary,Conceptual,17296,28827,23061,37775,High
Min al-Turath -al-Dabkeh (From Heritage: Dabkeh),ABDULHAY MUSALLAM ZARARA,acrylic,Acrylic,68.0,90.0,6120.0,Palestine,1933-2020,1933,2020,1976,Naive Art,Folk,17296,28827,23061,43587,High
Olive Tree Grove,SLIMAN MANSOUR,oil on canvas,Oil,106.0,106.0,11236.0,Palestine,1947,1947,,1947,Social Realism,Figurative,28827,40358,34592,94439,Premium
Untitled,MANOUCHER YEKTAI,oil on canvas,Oil,91.5,76.5,6999.75,Iran,1921-2019,1921,2019,1970,Abstract Expressionism,Abstract,57655,80717,69186,,
Untitled,BAHMAN MOHASSES,oil on canvas,Oil,85.5,121.3,10371.15,Iran,1931-2010,1931,2010,1970,Modernism,Surrealist,230619,288274,259446,290580,Premium
Untitled,BAHMAN MOHASSES,oil on canvas,Oil,39.9,60.2,2401.98,Iran,1931-2010,1931,2010,1970,Modernism,Surrealist,46124,69186,57655,58116,Premium
Untitled,SOHRAB SEPEHRI,oil on canvas,Oil,70.4,50.1,3527.04,Iran,1928-1980,1928,1980,1954,Modernism,Minimalist,46124,69186,57655,,
La Chambre,ZIAD DALLOUL,oil on canvas,Oil,130.5,162.2,21167.1,Syria,1953,1953,,1953,Contemporary,Figurative,8072,11531,9801,40681,High
Les Patineurs,MARC CHAGALL,Unknown,Unknown,28.2,22.2,626.04,Belarus,1887-1985,1887,1985,1936,Surrealism,Religious Art,4294,6870,5582,14067,Medium
"Esquisse pour ""Les Amoureux (1937-43)"" (recto); Etude pour ""Tchichikov (Les âmes mortes, Gogol)"" (verso)",MARC CHAGALL,Unknown,Unknown,25.4,21.4,543.56,Belarus,1887-1985,1887,1985,1936,Surrealism,Religious Art,8588,12882,10735,18396,Medium
Visitation de l'ange à la palette à Bella en vert,MARC CHAGALL,Unknown,Unknown,20.0,27.0,540.0,Belarus,1887-1985,1887,1985,1936,Surrealism,Religious Art,5153,6870,6011,15149,Medium
Le père Noël sur fond rouge à la rencontre de Bella,MARC CHAGALL,gouache,Gouache,31.7,25.0,792.5,Belarus,1887-1985,1887,1985,1936,Surrealism,Religious Art,42941,68705,55823,102800,Premium
Cravate et couronne,PABLO PICASSO,Unknown,Unknown,7.8,18.0,140.4,Spain,1881-1973,1881,1973,1927,Cubism,Abstract,12882,17176,15029,41120,High
Cravate et couronne,PABLO PICASSO,Unknown,Unknown,,,,Spain,1881-1973,1881,1973,1927,Cubism,Abstract,8588,12882,10735,32463,High
Tête de jeune fille,LEONARD TSUGUHARU FOUJITA,gouache,Gouache,36.5,26.4,963.6,Japan,1886-1968,1886,1968,1927,Modernism,Portrait,42941,60117,51529,,
Couple,PABLO PICASSO,Unknown,Unknown,50.2,65.7,3298.14,Spain,1881-1973,1881,1973,1927,Cubism,Abstract,300584,472346,386465,346273,Premium
Autour de la main verte,MARC CHAGALL,gouache,Gouache,33.6,25.7,863.52,Belarus,1887-1985,1887,1985,1936,Surrealism,Religious Art,103057,154586,128821,129852,Premium
Homme qui marche,ALBERTO GIACOMETTI,Unknown,Unknown,50.4,32.3,1627.92,Switzerland,1901-1966,1901,1966,1934,Modernism,Sculpture,34352,51529,42940,48695,High
Figures,JOAN MIRO,gouache,Gouache,41.3,32.4,1338.12,Spain,1893-1983,1893,1983,1938,Surrealism,Abstract,128822,214703,171762,281347,Premium
Le tilleul et le châtaignier,MAX ERNST,watercolor,Watercolor,42.8,26.1,1117.08,Germany,1891-1976,1891,1976,1934,Surrealism,Abstract,128822,214703,171762,173136,Premium
Lourd entre léger,WASSILY KANDINSKY,gouache,Gouache,32.0,49.8,1593.6,Russia,1866-1944,1866,1944,1905,Abstract Art,Abstract,60117,85881,72999,108210,Premium
La fille de l'artiste,GEORGES VALMIER,gouache,Gouache,27.3,21.5,586.95,France,1885-1937,1885,1937,1911,Cubism,Abstract,10306,15459,12882,20560,High
Nature morte,ALEXANDER ARCHIPENKO,gouache,Gouache,32.0,24.5,784.0,Ukraine,1887-1964,1887,1964,1926,Cubism,Sculpture,12882,17176,15029,25970,High
L'Usine,FERNAND LEGER,gouache,Gouache,24.4,31.5,768.6,France,1881-1955,1881,1955,1918,Cubism,Abstract,85881,128822,107351,108210,Premium
Vue d'une ville,OSSIP ZADKINE,gouache,Gouache,49.5,35.3,1747.35,Belarus,1888-1967,1888,1967,1928,Cubism,Sculpture,15459,21470,18464,30299,High
Deux personnages,OSSIP ZADKINE,gouache,Gouache,49.5,38.5,1905.75,Belarus,1888-1967,1888,1967,1928,Cubism,Sculpture,15459,21470,18464,34627,High
L'Echafaudage,FERNAND LEGER,Unknown,Unknown,20.32,15.24,309.68,France,1881-1955,1881,1955,1918,Cubism,Abstract,51529,68705,60117,54105,Premium
Portugaise au jardin,ROBERT DELAUNAY,gouache,Gouache,55.9,70.0,3913.0,France,1885-1941,1885,1941,1913,Orphism,Abstract,128822,214703,171762,259705,Premium
Sans titre (Construction géométrique),FRANTISEK KUPKA,gouache,Gouache,27.3,21.0,573.3,Czech Republic,1871-1957,1871,1957,1914,Abstract Art,Abstract,103057,154586,128821,238063,Premium
Quatre éléments ou Composition à quatre éléments,ALBERT GLEIZES,gouache,Gouache,27.0,23.7,639.9,France,1881-1953,1881,1953,1917,Cubism,Abstract,10306,15459,12882,17314,Medium
La petite fille et la poupée,GEORGES VALMIER,gouache,Gouache,27.0,21.7,585.9,France,1885-1937,1885,1937,1911,Cubism,Abstract,8588,12882,10735,14067,Medium
Ecuyère au bouquet sur un cheval,MARC CHAGALL,gouache,Gouache,20.32,55.88,1135.48,Belarus,1887-1985,1887,1985,1936,Surrealism,Religious Art,429406,601168,515287,865682,Premium
Tréguier. Bateau à quai,PAUL SIGNAC,gouache,Gouache,27.3,43.8,1195.74,France,1863-1935,1863,1935,1899,Pointillism,Seascape,21470,30058,25764,43284,High
Jeune femme en blanc dans un paysage,PIERRE-AUGUSTE RENOIR,watercolor,Watercolor,20.0,29.8,596.0,France,1841-1919,1841,1919,1880,Impressionism,Portrait,21470,30058,25764,51941,High
Femmes au jardin,ALBERT ANDRE,gouache,Gouache,29.0,26.2,759.8,France,1869-1954,1869,1954,1912,Post-Impressionism,Portrait,6012,8588,7300,8657,Medium
Scène de famille,PIERRE BONNARD,gouache,Gouache,32.2,18.9,608.58,France,1867-1947,1867,1947,1907,Post-Impressionism,Interior,34352,51529,42940,32463,High
Femme mettant ses bas,MAXIMILIEN LUCE,Unknown,Unknown,54.0,40.8,2203.2,France,1858-1941,1858,1941,1900,Neo-Impressionism,Landscape,21470,30058,25764,23806,High
Danseuse tirant son maillot (La Précaution),EDGAR DEGAS,Unknown,Unknown,20.0,25.0,500.0,France,1834-1917,1834,1917,1876,Impressionism,Figurative,171762,257643,214702,411199,Premium
"Head of Julie, Looking Down",MARY CASSATT,Unknown,Unknown,40.6,32.4,1315.44,United States,1844-1926,1844,1926,1885,Impressionism,Portrait,42941,60117,51529,40038,High
Jeanne Pontillon à la capeline,BERTHE MORISOT,Unknown,Unknown,20.32,30.48,619.35,France,1841-1895,1841,1895,1868,Impressionism,Portrait,154586,214703,184644,,
"Femme nue debout, le genou droit appuyé sur une banquette",EDGAR DEGAS,Unknown,Unknown,65.7,47.8,3140.46,France,1834-1917,1834,1917,1876,Impressionism,Figurative,68705,103057,85881,70337,Premium
Femme au chien,LEONARD TSUGUHARU FOUJITA,watercolor,Watercolor,72.7,102.8,7473.56,Japan,1886-1968,1886,1968,1927,Modernism,Portrait,60117,85881,72999,59516,Premium
Nu assis,PABLO PICASSO,Unknown,Unknown,37.2,27.0,1004.4,Spain,1881-1973,1881,1973,1927,Cubism,Abstract,171762,257643,214702,238063,Premium
Femme et centaures aux oiseaux,PABLO PICASSO,Unknown,Unknown,50.4,66.0,3326.4,Spain,1881-1973,1881,1973,1927,Cubism,Abstract,34352,51529,42940,43284,High
Sitzender weiblicher Akt von vorn,EGON SCHIELE,Unknown,Unknown,46.2,29.8,1376.76,Austria,1890-1918,1890,1918,1904,Expressionism,Figurative,171762,257643,214702,183957,Premium
Tête de jeune fille,HENRI MATISSE,Unknown,Unknown,32.5,48.8,1586.0,France,1869-1954,1869,1954,1912,Fauvism,Portrait,15459,21470,18464,32463,High
Sirène,HENRI MATISSE,Unknown,Unknown,63.0,49.2,3099.6,France,1869-1954,1869,1954,1912,Fauvism,Portrait,128822,214703,171762,248884,Premium
Portrait einer Dame,EMIL NOLDE,watercolor,Watercolor,44.4,33.1,1469.64,Germany,1867-1956,1867,1956,1912,Expressionism,Landscape,34352,51529,42940,32463,High
Nu assis,BALTHUS,Unknown,Unknown,29.8,40.0,1192.0,Switzerland,1908-2001,1908,2001,1954,Modern Realism,Portrait,6870,10306,8588,7575,Medium
Femme au miroir et enfant,PABLO PICASSO,Unknown,Unknown,49.7,61.0,3031.7,Spain,1881-1973,1881,1973,1927,Cubism,Abstract,128822,214703,171762,,
L'Offrande,MARC CHAGALL,Unknown,Unknown,20.32,45.72,929.03,Belarus,1887-1985,1887,1985,1936,Surrealism,Religious Art,103057,154586,128821,129852,Premium
Senza titolo,MARINO MARINI,collage,Other,50.3,38.0,1911.4,Italy,1901-1980,1901,1980,1940,Modernism,Sculpture,17176,25764,21470,15149,Medium
Cavallo e cavaliere,MARINO MARINI,collage,Other,50.0,38.2,1910.0,Italy,1901-1980,1901,1980,1940,Modernism,Sculpture,21470,30058,25764,,
Tête,JOAN MIRO,Unknown,Unknown,55.0,39.0,2145.0,Spain,1893-1983,1893,1983,1938,Surrealism,Abstract,128822,214703,171762,,
Ariane,JACQUES LIPCHITZ,gouache,Gouache,60.9,50.3,3063.27,Lithuania,1891-1973,1891,1973,1932,Cubism,Sculpture,6870,10306,8588,18396,Medium
Drawing for Seated Sculpture: Four Views,HENRY MOORE,gouache,Gouache,43.5,34.2,1487.7,United Kingdom,1898-1986,1898,1986,1942,Modernism,Sculpture,25764,42941,34352,54105,Premium
"Soldats dans un abri, Argonne",FERNAND LEGER,Unknown,Unknown,20.32,15.24,309.68,France,1881-1955,1881,1955,1918,Cubism,Abstract,21470,30058,25764,19478,High
Maquette pour couverture d’un livre,FERNAND LEGER,gouache,Gouache,30.5,18.6,567.3,France,1881-1955,1881,1955,1918,Cubism,Abstract,8588,12882,10735,11903,Medium
Colombe de la Paix,PABLO PICASSO,Unknown,Unknown,36.5,25.9,945.35,Spain,1881-1973,1881,1973,1927,Cubism,Abstract,17176,25764,21470,32463,High
Homme et femme nus,PABLO PICASSO,Unknown,Unknown,50.6,65.3,3304.18,Spain,1881-1973,1881,1973,1927,Cubism,Abstract,103057,154586,128821,162315,Premium
"Tête de Georges Bataille, projet pour ""Histoire de Rats (Journal de Dianus)"" de Georges Bataille",ALBERTO GIACOMETTI,Unknown,Unknown,21.9,16.7,365.73,Switzerland,1901-1966,1901,1966,1934,Modernism,Sculpture,21470,30058,25764,48695,High
"Bildnis (Junger Mann, Kopf)",EGON SCHIELE,Unknown,Unknown,43.18,27.94,1206.45,Austria,1890-1918,1890,1918,1904,Expressionism,Figurative,85881,128822,107351,335452,Premium
Strassenkehrer,LYONEL FEININGER,watercolor,Watercolor,23.7,31.3,741.81,Germany,1871-1956,1871,1956,1914,Cubism,Cityscape,10306,15459,12882,64926,Premium
"Grill-Oyster Bar, New York",GEORGE GROSZ,Unknown,Unknown,43.18,55.88,2412.9,Germany,1893-1959,1893,1959,1926,Expressionism,Satirical,8588,12882,10735,14067,Medium
"""Glorious Day""",LYONEL FEININGER,watercolor,Watercolor,31.8,48.6,1545.48,Germany,1871-1956,1871,1956,1914,Cubism,Cityscape,10306,15459,12882,17314,Medium
Marschlandschaft mit Abendwolken,EMIL NOLDE,watercolor,Watercolor,34.0,47.1,1601.4,Germany,1867-1956,1867,1956,1912,Expressionism,Landscape,51529,68705,60117,102800,Premium
